datetime,index,filename,mean_intensity,solidity,intensity_variance,intense_convection_ratio,convection_stratiform_ratio,area,convection_area,max_intensity,minor_axis_length,intense_area,eccentricity,convex_area,intense_stratiform_ratio,major_axis_length,label,minor_major_ratio,xmax,xmin,ymax,ymin,label1,label_name
2011-06-25 00:15:00,1609,extracted/mcs_files/mcs_BREF_110625_0015_000.png,27.0533402382,0.7802020202,64.5650816272,0.2990586532,0.1191955809,46344,5524,65,214.0413383256,1652,0.6939639752,59400,0.0356464699,297.2756221285,0,0.7200097229,1436,1289,493,341,1,MCS
2010-06-08 10:50:00,1459,extracted/mcs_files/mcs_BREF_100608_1050_002.png,33.8721953148,0.7630864384,52.4692842287,0.1181208054,0.2945537215,40468,11920,55,188.4994906473,1408,0.7790145193,53032,0.0347929228,300.6343248454,0,0.6270058841,1788,1682,1581,1419,1,MCS
2008-07-20 06:40:00,1316,extracted/mcs_files/mcs_BREF_080720_0640_000.png,32.9087758688,0.6778270363,61.6349327459,0.1129894773,0.2829461148,81952,23188,60,230.0770439268,2620,0.9038266869,120904,0.0319699336,537.690415405,0,0.4278987264,2235,1985,731,528,1,MCS
2008-07-08 23:45:00,1295,extracted/mcs_files/mcs_BREF_080708_2345_001.png,33.5834438184,0.6037169514,68.2162721308,0.2037370242,0.2993453762,96544,28900,60,260.182614326,5888,0.905280489,159916,0.0609877362,612.4619171321,0,0.4248143551,2285,1981,822,617,1,MCS
2011-06-22 18:30:00,1606,extracted/mcs_files/mcs_BREF_110622_1830_001.png,34.0953494772,0.4401114206,78.1201049549,0.2426590538,0.33736929,29072,9808,60,200.7517927718,2380,0.8052021336,66056,0.0818657127,338.5356546045,0,0.5930004419,2362,2245,1223,1042,1,MCS
2012-08-04 08:00:00,1731,extracted/mcs_files/mcs_BREF_120804_0800_000.png,31.1887656417,0.3795035429,65.2952797814,0.1678425548,0.2126080606,101332,21544,60,389.84619,3616,0.8802384971,267012,0.0356846801,821.5390381388,0,0.4745315462,2129,1855,573,153,1,MCS
2006-06-12 03:45:00,988,extracted/mcs_files/mcs_BREF_060612_0345_001.png,30.7279885847,0.5414329862,59.9036548592,0.1226645004,0.1951696438,75688,14772,60,223.9414780427,1812,0.9180751238,139792,0.0239403869,564.928957849,0,0.3964064418,2641,2320,956,782,1,MCS
2013-06-24 19:25:00,1799,extracted/mcs_files/mcs_BREF_130624_1925_001.png,33.7416699334,0.4522247828,123.740008031,0.4111731844,0.3508428067,10204,3580,60,105.4464494599,1472,0.877675017,22564,0.1442571541,220.0210155774,0,0.4792562619,2739,2646,1054,956,1,MCS
2006-06-24 04:45:00,1015,extracted/mcs_files/mcs_BREF_060624_0445_001.png,32.829422955,0.6674849742,69.0647525522,0.1719517642,0.2839568802,31540,8956,55,133.8707005587,1540,0.9256421773,47252,0.0488268865,353.7809216936,0,0.3783999994,2548,2398,1129,994,1,MCS
2011-08-24 12:45:00,1666,extracted/mcs_files/mcs_BREF_110824_1245_000.png,31.4508988463,0.5122319956,66.6599851057,0.1630309989,0.2337000268,29816,6968,55,121.452352139,1136,0.9526883,58208,0.0381003488,399.5813331285,0,0.3039490138,2644,2449,791,644,1,MCS
2007-08-22 11:50:00,1178,extracted/mcs_files/mcs_BREF_070822_1150_002.png,32.6722800798,0.6642625846,88.7928877106,0.324820431,0.2776423665,18052,5012,60,103.4865372454,1628,0.9140686464,27176,0.0901839131,255.1698006156,0,0.4055595019,2481,2380,743,637,1,MCS
2006-06-18 20:15:00,1002,extracted/mcs_files/mcs_BREF_060618_2015_000.png,31.0056019332,0.536950752,73.4203332932,0.1307420495,0.2486818981,36416,9056,55,189.2591155119,1184,0.8637618716,67820,0.032513181,375.5884775164,0,0.5039002175,2341,2223,955,765,1,MCS
2010-06-08 19:30:00,1460,extracted/mcs_files/mcs_BREF_100608_1930_000.png,30.562838295,0.3882831998,64.2700702932,0.2004750594,0.1780277402,47296,8420,60,183.0882535417,1688,0.9593468232,121808,0.0356901218,648.7204360599,0,0.2822298225,2235,1968,884,713,1,MCS
2007-08-08 23:05:00,1160,extracted/mcs_files/mcs_BREF_070808_2305_002.png,30.1567152484,0.6192139738,64.4637650449,0.1120896717,0.1957373452,25524,4996,55,138.7520817664,560,0.8881230411,41220,0.0219401348,301.8936898422,0,0.45960577,2061,1901,693,602,1,MCS
2008-06-05 00:45:00,1213,extracted/mcs_files/mcs_BREF_080605_0045_000.png,29.8927200181,0.5573364662,85.9046996933,0.380952381,0.1723255289,53132,9156,65,192.027631591,3488,0.8944100697,95332,0.0656478205,429.3539643073,0,0.4472478364,1821,1594,698,543,1,MCS
2009-06-11 07:55:00,1356,extracted/mcs_files/mcs_BREF_090611_0755_000.png,31.61339918,0.5914577018,73.880823071,0.2392785571,0.2324822959,42928,9980,60,187.9804315629,2388,0.8743866056,72580,0.0556280283,387.4048740665,0,0.4852299084,1968,1762,809,672,1,MCS
2009-08-18 01:00:00,1426,extracted/mcs_files/mcs_BREF_090818_0100_001.png,31.4213575511,0.6921909717,61.6276719377,0.1499634236,0.2140452517,51092,10936,55,123.7311066082,1640,0.9801644915,73812,0.0320989587,624.3190595271,0,0.1981856948,2180,1963,989,754,1,MCS
2011-06-26 05:40:00,1616,extracted/mcs_files/mcs_BREF_110626_0540_001.png,28.4551692589,0.5556967817,67.2223726383,0.1702508961,0.1531564501,43720,6696,60,225.8577266275,1140,0.7615121054,78676,0.0260750229,348.4648417379,0,0.6481506872,1645,1446,571,414,1,MCS
2008-07-11 06:25:00,1300,extracted/mcs_files/mcs_BREF_080711_0625_002.png,34.1120019436,0.5526315789,113.837309792,0.4102650117,0.3621234208,32928,11924,60,138.6947819267,4892,0.9487699453,59584,0.1485665695,438.9523978532,0,0.3159677054,2228,2027,594,452,1,MCS
2010-06-03 04:15:00,1449,extracted/mcs_files/mcs_BREF_100603_0415_000.png,31.565285205,0.5620714487,90.6676406941,0.3139770425,0.2474933155,71808,17772,60,198.7073830814,5580,0.9589450183,127756,0.0777072193,700.6803676908,0,0.2835920517,2137,1800,930,775,1,MCS
2010-06-13 18:45:00,1482,extracted/mcs_files/mcs_BREF_100613_1845_000.png,30.3815461347,0.5433183648,66.4112447773,0.1750563486,0.1896686854,56140,10648,60,211.5401053944,1864,0.8967554114,103328,0.0332027075,478.0280724669,0,0.4425265326,2167,1967,738,520,1,MCS
2010-06-04 07:15:00,1451,extracted/mcs_files/mcs_BREF_100604_0715_000.png,30.052882073,0.4456489719,48.569387516,0.1487179487,0.1289000529,30256,3900,55,155.1088814214,580,0.945731372,67892,0.0191697515,477.3322792986,0,0.3249494915,1866,1599,775,665,1,MCS
2010-06-17 04:20:00,1495,extracted/mcs_files/mcs_BREF_100617_0420_001.png,28.8082174301,0.4455879008,84.4926312106,0.285814116,0.1825953809,31348,5724,60,160.5410072572,1636,0.9182731078,70352,0.0521883374,405.4602389161,0,0.3959475969,1635,1442,481,329,1,MCS
2008-06-26 11:20:00,1272,extracted/mcs_files/mcs_BREF_080626_1120_001.png,31.7582653499,0.6938430983,87.2727508482,0.3736199884,0.2463145842,27948,6884,60,181.0060212996,2572,0.696920167,40280,0.0920280521,252.3967724822,0,0.717148716,2014,1898,762,636,1,MCS
2007-08-23 02:00:00,1183,extracted/mcs_files/mcs_BREF_070823_0200_002.png,31.0634615385,0.6600203083,70.196846759,0.2058974799,0.203951049,114400,23332,60,300.8082651333,4804,0.8614535597,173328,0.041993007,592.333064747,0,0.507836356,1932,1629,755,546,1,MCS
2009-06-07 11:50:00,1344,extracted/mcs_files/mcs_BREF_090607_1150_000.png,29.2597309461,0.5617013001,52.8157932112,0.1208413002,0.1293337949,161752,20920,65,324.5095054978,2528,0.9237999703,287968,0.0156288639,847.5589133606,0,0.3828754561,2187,1717,798,544,1,MCS
2006-09-24 02:05:00,1074,extracted/mcs_files/mcs_BREF_060924_0205_001.png,33.0753289474,0.5094858215,87.5604439707,0.3469945355,0.2889473684,60800,17568,60,123.3100095602,6096,0.9899701662,119336,0.1002631579,872.8270182557,0,0.1412765725,2011,1615,1334,1161,1,MCS
2007-08-27 13:00:00,1191,extracted/mcs_files/mcs_BREF_070827_1300_000.png,32.6593920499,0.5673602052,64.9404944083,0.1419446416,0.2745518316,102640,28180,65,322.6838702846,4000,0.7558995897,180908,0.0389711613,492.8822335795,0,0.6546875669,2205,1955,599,359,1,MCS
2010-06-27 11:30:00,1526,extracted/mcs_files/mcs_BREF_100627_1130_001.png,32.1916585778,0.5843488125,63.9061232378,0.1303494788,0.2553464634,127748,32620,60,285.575946681,4252,0.9199600972,218616,0.0332842784,728.4877405539,0,0.3920120145,2142,1809,807,484,1,MCS
2008-06-08 13:00:00,1233,extracted/mcs_files/mcs_BREF_080608_1300_000.png,31.4530358472,0.4392682495,58.3509635571,0.1157067294,0.2110518482,257984,54448,60,396.6888868341,6300,0.9420977272,587304,0.0244201191,1182.9508166541,0,0.3353384445,2368,1679,882,352,1,MCS
2010-06-23 20:40:00,1514,extracted/mcs_files/mcs_BREF_100623_2040_000.png,30.2222486332,0.6367970938,66.2389345205,0.2588832487,0.1638935108,33656,5516,60,178.6576421834,1428,0.8588592227,52852,0.0424292845,348.7964816112,0,0.5122117097,2602,2440,717,604,1,MCS
2008-06-19 05:30:00,1260,extracted/mcs_files/mcs_BREF_080619_0530_000.png,28.8827098079,0.3340893736,52.0341990992,0.068627451,0.1178679763,27692,3264,60,172.1244179042,224,0.8958051605,82888,0.0080889788,387.277734316,0,0.444446976,1708,1523,469,308,1,MCS
2009-08-19 00:45:00,1433,extracted/mcs_files/mcs_BREF_090819_0045_000.png,31.1871013466,0.4799972785,110.054291456,0.404519774,0.2508858965,28220,7080,65,144.3803915569,2864,0.9550590592,58792,0.1014883062,487.0877358958,0,0.2964155755,1612,1430,627,447,1,MCS
2008-06-08 21:00:00,1243,extracted/mcs_files/mcs_BREF_080608_2100_001.png,32.1667763699,0.2596620164,100.867035075,0.2997835498,0.3040974165,97232,29568,60,257.256313679,8864,0.9825025911,374456,0.091163403,1381.2499943375,0,0.1862489156,2127,1549,968,436,1,MCS
2013-06-03 03:20:00,1758,extracted/mcs_files/mcs_BREF_130603_0320_001.png,34.5933569422,0.5385020057,93.5274000022,0.2425915166,0.4203199414,32756,13768,60,169.6517384477,3340,0.9025246887,60828,0.101966052,393.954302746,0,0.4306381153,2511,2339,1239,1096,1,MCS
2011-06-13 00:35:00,1568,extracted/mcs_files/mcs_BREF_110613_0035_001.png,31.7763759371,0.5493169948,79.368715994,0.2483468038,0.2488571951,21876,5444,60,132.4116634504,1352,0.9213672195,39824,0.061802889,340.6585053603,0,0.3886932555,1490,1375,608,446,1,MCS
2010-06-21 09:10:00,1502,extracted/mcs_files/mcs_BREF_100621_0910_000.png,30.63912123,0.6339633435,69.1269768004,0.2125703565,0.1849859438,115252,21320,65,280.9305063014,4532,0.8964501077,181796,0.039322528,633.9476046425,0,0.4431446767,1819,1456,755,565,1,MCS
2006-08-25 03:10:00,1054,extracted/mcs_files/mcs_BREF_060825_0310_000.png,30.2072711151,0.6694566879,60.8526272462,0.1349044586,0.1740190645,180440,31400,65,407.2987698964,4236,0.8174862745,269532,0.0234759477,707.1796642312,0,0.5759480801,2332,1891,596,342,1,MCS
2013-06-24 19:25:00,1798,extracted/mcs_files/mcs_BREF_130624_1925_000.png,29.1793901157,0.4289193577,53.3917939498,0.1662667124,0.1226919033,95100,11668,60,406.4720547694,1940,0.686664535,221720,0.0203995794,559.1284096076,0,0.7269744262,2058,1749,746,504,1,MCS
2006-06-17 00:00:00,993,extracted/mcs_files/mcs_BREF_060617_0000_000.png,31.0767281449,0.4605557151,69.4201830152,0.2135264417,0.2039759869,295172,60208,65,462.5884633367,12856,0.9514747233,640904,0.0435542667,1503.2434558761,0,0.3077269098,1965,1444,1058,389,1,MCS
2006-09-17 04:40:00,1063,extracted/mcs_files/mcs_BREF_060917_0440_000.png,33.9355628059,0.4495435861,114.779869484,0.3204007674,0.4027646604,93176,37528,65,158.3695017423,12024,0.9882691215,207268,0.1290461063,1036.975981203,0,0.1527224397,1987,1618,872,478,1,MCS
2010-06-10 19:35:00,1468,extracted/mcs_files/mcs_BREF_100610_1935_000.png,29.9900491688,0.4685597265,63.8149716123,0.0776384958,0.1930071022,102504,19784,55,290.9120534157,1536,0.887020092,218764,0.0149847811,630.0468510493,0,0.4617308267,2136,1834,747,430,1,MCS
2007-06-06 22:05:00,1086,extracted/mcs_files/mcs_BREF_070606_2205_002.png,31.6855236437,0.5204983012,96.506268532,0.2808358818,0.2845953003,27576,7848,60,186.1056178885,2204,0.8267229272,52980,0.0799245721,330.7901675292,0,0.5626092797,2611,2491,1476,1322,1,MCS
2011-09-01 07:55:00,1670,extracted/mcs_files/mcs_BREF_110901_0755_000.png,29.8531671789,0.6609548205,63.1190588585,0.1102888087,0.1850861954,119728,22160,60,415.9804401014,2444,0.45149652,181144,0.020412936,466.20316431,0,0.89227288,1758,1506,342,99,1,MCS
2012-06-14 23:15:00,1689,extracted/mcs_files/mcs_BREF_120614_2315_001.png,35.1040363843,0.4742518199,132.510495362,0.4473755779,0.4180784537,35180,14708,65,143.5026923723,6580,0.9638915211,74180,0.1870380898,538.8857569884,0,0.2662952036,1874,1637,729,536,1,MCS
2008-07-31 15:15:00,1329,extracted/mcs_files/mcs_BREF_080731_1515_000.png,30.8416353639,0.6789000998,47.2746647762,0.1463217462,0.134683434,73476,9896,60,299.867801151,1448,0.6155382026,108228,0.0197071152,380.4912053707,0,0.7881070493,2023,1845,599,402,1,MCS
2008-06-08 09:00:00,1229,extracted/mcs_files/mcs_BREF_080608_0900_000.png,31.4994841612,0.5822050671,62.4081339196,0.1266915539,0.2174641027,236508,51432,65,385.1290541885,6516,0.9296291295,406228,0.0275508651,1045.136218615,0,0.3684965149,2146,1632,722,413,1,MCS
2009-06-15 06:20:00,1373,extracted/mcs_files/mcs_BREF_090615_0620_001.png,30.8803247692,0.5145064378,80.887246074,0.2770167428,0.2192192192,35964,7884,60,131.4010502009,2184,0.9658872159,69900,0.0607273941,507.412257714,0,0.258963098,2003,1732,798,669,1,MCS
2007-06-15 22:40:00,1097,extracted/mcs_files/mcs_BREF_070615_2240_001.png,32.9703459638,0.4756307789,79.9496972444,0.2633410673,0.2840197694,24280,6896,60,123.953937704,1816,0.9389253026,51048,0.0747940692,360.2044939484,0,0.3441210196,1930,1824,1294,1106,1,MCS
2007-08-13 02:35:00,1164,extracted/mcs_files/mcs_BREF_070813_0235_000.png,31.8020163531,0.6455365379,63.959214796,0.1675432006,0.2113201556,50388,10648,65,226.1454547016,1784,0.7854710388,78056,0.0354052552,365.3999582073,0,0.6188984143,1984,1784,755,609,1,MCS
2011-06-14 04:45:00,1570,extracted/mcs_files/mcs_BREF_110614_0445_000.png,27.7268983693,0.3490685373,39.9820783226,0.0317124736,0.077911382,24284,1892,50,172.9941696378,60,0.8328438597,69568,0.0024707626,312.5414083555,0,0.5535079993,1347,1131,423,295,1,MCS
2008-06-24 15:30:00,1270,extracted/mcs_files/mcs_BREF_080624_1530_000.png,31.5546541418,0.5790722975,65.1300189026,0.1928196854,0.2116994022,46840,9916,60,195.1272585662,1912,0.8501405609,80888,0.0408198121,370.572791856,0,0.5265558154,2045,1863,831,660,1,MCS
2010-08-17 10:20:00,1549,extracted/mcs_files/mcs_BREF_100817_1020_001.png,33.2710989678,0.7233882353,58.7519455439,0.0779350779,0.3032786885,92232,27972,55,305.6631445528,2180,0.6984020723,127500,0.0236360482,427.0794203308,0,0.7157056276,1804,1559,958,748,1,MCS
2006-06-17 01:00:00,994,extracted/mcs_files/mcs_BREF_060617_0100_000.png,31.5912407816,0.4988178146,63.6002451276,0.1899277049,0.2108050163,309708,65288,65,454.3362661784,12400,0.9566940859,620884,0.0400377129,1560.7823077081,0,0.291095218,1993,1477,1058,376,1,MCS
2013-06-06 02:30:00,1762,extracted/mcs_files/mcs_BREF_130606_0230_000.png,31.2256824914,0.6951029494,77.1863582625,0.184347181,0.2158354015,49964,10784,65,210.585262976,1988,0.7900987518,71880,0.0397886478,343.5436851355,0,0.6129795775,1503,1307,1095,962,1,MCS
2007-06-01 04:25:00,1078,extracted/mcs_files/mcs_BREF_070601_0425_000.png,32.2796067673,0.5367398027,98.9792046007,0.3465362673,0.280521262,87480,24540,65,224.7165960523,8504,0.9477528531,162984,0.097210791,704.4285238545,0,0.3190055321,1796,1474,956,725,1,MCS
2008-06-29 22:30:00,1282,extracted/mcs_files/mcs_BREF_080629_2230_003.png,33.0806467228,0.4603351457,82.5853249375,0.3058350101,0.2887017136,41316,11928,60,161.2967220168,3648,0.9565017464,89752,0.0882950915,552.9037187429,0,0.2917266,2432,2214,1186,974,1,MCS
2011-06-25 00:15:00,1611,extracted/mcs_files/mcs_BREF_110625_0015_002.png,31.3233290856,0.4871767426,73.5102581442,0.2297324083,0.2216900294,91028,20180,60,193.666769833,4636,0.9814276926,186848,0.0509293844,1009.5621564544,0,0.191832438,2612,2093,1170,1008,1,MCS
2008-06-09 00:00:00,1247,extracted/mcs_files/mcs_BREF_080609_0000_000.png,32.3990026115,0.3586173436,88.879890142,0.2791617901,0.2822735425,254264,71772,65,356.7595593602,20036,0.982943258,709012,0.0787999874,1939.8691455895,0,0.1839090849,2272,1525,989,364,1,MCS
2010-06-15 04:10:00,1489,extracted/mcs_files/mcs_BREF_100615_0410_001.png,33.7134218767,0.66396616,73.4364994775,0.1889094673,0.3303818882,111132,36716,60,229.322207549,6936,0.9479833359,167376,0.0624122665,720.4141706255,0,0.3183199566,1816,1514,1179,882,1,MCS
2010-07-24 04:35:00,1537,extracted/mcs_files/mcs_BREF_100724_0435_001.png,35.7231870609,0.4506242906,97.8629211962,0.3459876543,0.4295373194,60344,25920,60,206.5646586839,8968,0.9592171558,133912,0.1486146096,730.762036226,0,0.2826702106,2286,1896,667,545,1,MCS
2010-06-02 09:25:00,1445,extracted/mcs_files/mcs_BREF_100602_0925_000.png,33.2340240659,0.6261478856,69.8045233972,0.1259270825,0.3372653308,151916,51236,60,353.4061541699,6452,0.882648709,242620,0.0424708391,751.8747957357,0,0.4700332504,2379,2068,835,487,1,MCS
2012-06-18 23:25:00,1712,extracted/mcs_files/mcs_BREF_120618_2325_000.png,31.1865474737,0.5016297584,70.5115317063,0.1891559923,0.2244319301,101572,22796,60,216.9402136411,4312,0.9625910645,202484,0.0424526444,800.6403618989,0,0.2709583778,2532,2127,523,271,1,MCS
2007-06-27 02:10:00,1130,extracted/mcs_files/mcs_BREF_070627_0210_000.png,31.7532822757,0.5725684141,84.8629182259,0.192931991,0.2802602787,138928,38936,65,335.3738917147,7512,0.8833296586,242640,0.0540711736,715.4607990191,0,0.4687522953,1528,1273,1086,786,1,MCS
2008-06-06 10:00:00,1226,extracted/mcs_files/mcs_BREF_080606_1000_000.png,29.6318380021,0.4902268789,56.7082397771,0.11364134,0.1508654863,121088,18268,55,296.0671715314,2076,0.9329185458,247004,0.017144556,822.2090330811,0,0.3600874712,2121,1915,861,415,1,MCS
2009-08-05 01:25:00,1416,extracted/mcs_files/mcs_BREF_090805_0125_001.png,33.8291484716,0.7041865531,84.4574363928,0.2927393694,0.3145014556,87936,27656,65,277.9131227599,8096,0.8223189441,124876,0.0920669578,488.4007205305,0,0.5690268484,2330,2041,953,795,1,MCS
2013-06-06 16:10:00,1766,extracted/mcs_files/mcs_BREF_130606_1610_002.png,27.5684783548,0.5435630078,48.287132196,0.0731707317,0.0991964054,46292,4592,55,234.6534493608,336,0.7437883406,85164,0.0072582736,351.0594056738,0,0.6684152185,2722,2571,1449,1251,1,MCS
2011-07-30 21:25:00,1641,extracted/mcs_files/mcs_BREF_110730_2125_000.png,32.2754654984,0.6347834724,55.3468225614,0.1566309568,0.2117821937,51128,10828,60,195.2081742726,1696,0.8515972815,80544,0.0331716476,372.3949681882,0,0.5241965949,2290,2075,499,335,1,MCS
2006-09-17 05:05:00,1065,extracted/mcs_files/mcs_BREF_060917_0505_000.png,33.464881952,0.4521349452,112.405176219,0.3364327224,0.3683032039,121476,44740,70,175.3100060128,15052,0.9907464058,268672,0.1239092496,1291.6460187113,0,0.1357260453,2027,1593,870,384,1,MCS
2006-08-05 21:40:00,2563,extracted/non_mcs_files/non_mcs_BREF_060805_2140_001.png,32.9143798024,0.4567560792,97.7906933311,0.3278688525,0.3013172338,7288,2196,60,79.5653267451,720,0.9298774329,15956,0.0987925357,216.2868339814,1,0.3678694874,2161,2075,1138,1065,0,Unorganized
2006-07-05 02:50:00,2498,extracted/non_mcs_files/non_mcs_BREF_060705_0250_001.png,30.4427430093,0.5735013364,69.0616350858,0.2368421053,0.1770972037,6008,1064,60,63.6064483115,252,0.9326588686,10476,0.0419440746,176.3125958539,1,0.3607595249,2751,2662,784,744,0,Unorganized
2013-09-04 01:00:00,3085,extracted/non_mcs_files/non_mcs_BREF_130904_0100_000.png,35.1654215582,0.4343996291,104.748516178,0.3554987212,0.4172892209,3748,1564,55,32.2816421274,556,0.9885994745,8628,0.1483457844,214.3974048189,1,0.1505691832,2582,2477,1156,1119,0,Unorganized
2007-07-01 00:20:00,2613,extracted/non_mcs_files/non_mcs_BREF_070701_0020_000.png,30.8333333333,0.6219269103,100.641025641,0.2790697674,0.2756410256,3744,1032,55,65.7980966232,288,0.6889841754,6020,0.0769230769,90.7839964454,1,0.7247763835,1839,1802,963,909,0,Unorganized
2008-06-27 23:20:00,2736,extracted/non_mcs_files/non_mcs_BREF_080627_2320_000.png,33.8738738739,0.4223744292,102.110218326,0.2718894009,0.390990991,2220,868,60,34.1411710237,236,0.9697795043,5256,0.1063063063,139.9325712767,1,0.2439830178,1753,1726,283,212,0,Unorganized
2011-06-06 21:10:00,2926,extracted/non_mcs_files/non_mcs_BREF_110606_2110_001.png,31.6457286432,0.6221180149,123.359416429,0.4689826303,0.2531407035,6368,1612,65,90.4945669536,756,0.669893737,10236,0.118718593,121.8852650637,1,0.7424569894,2110,2055,1275,1206,0,Unorganized
2008-06-29 18:15:00,2741,extracted/non_mcs_files/non_mcs_BREF_080629_1815_001.png,34.1991991992,0.3421232877,103.212571931,0.2609756098,0.4104104104,3996,1640,55,47.6782124127,428,0.9741329148,11680,0.1071071071,210.9881296317,1,0.2259758049,2270,2167,1066,1016,0,Unorganized
2006-08-30 18:35:00,2594,extracted/non_mcs_files/non_mcs_BREF_060830_1835_002.png,35.0063331222,0.3561921949,112.159554572,0.3372781065,0.4281190627,6316,2704,60,84.905587495,912,0.9168741767,17732,0.1443951868,212.7019581255,1,0.3991763322,2530,2476,1090,995,0,Unorganized
2007-06-24 19:15:00,2599,extracted/non_mcs_files/non_mcs_BREF_070624_1915_000.png,31.6422495274,0.4434199497,89.9896894576,0.245,0.2835538752,8464,2400,55,103.8304458622,588,0.8446874653,19088,0.0694706994,193.9813899065,1,0.5352598304,1681,1601,1131,1051,0,Unorganized
2009-07-29 18:10:00,2799,extracted/non_mcs_files/non_mcs_BREF_090729_1810_001.png,31.696969697,0.5994550409,78.2566574839,0.1420765027,0.2772727273,2640,732,55,39.8493229455,104,0.9503368986,4404,0.0393939394,128.0410449171,1,0.3112230377,2367,2306,778,749,0,Unorganized
2011-06-23 20:10:00,2932,extracted/non_mcs_files/non_mcs_BREF_110623_2010_002.png,32.9620123203,0.4508215691,106.678228394,0.3820598007,0.3090349076,7792,2408,65,54.0703445409,920,0.9890184936,17284,0.1180698152,365.8548078747,1,0.1477918108,2705,2585,1068,960,0,Unorganized
2009-07-15 20:05:00,2790,extracted/non_mcs_files/non_mcs_BREF_090715_2005_005.png,33.5917958979,0.3261543482,98.0794924726,0.2849239281,0.3616808404,7996,2892,55,93.9704102361,824,0.9382257004,24516,0.1030515258,271.5720270545,1,0.3460238938,2541,2416,1293,1232,0,Unorganized
2010-06-18 19:35:00,2867,extracted/non_mcs_files/non_mcs_BREF_100618_1935_002.png,34.9749457157,0.3120179279,108.29234038,0.3516881029,0.415567062,23948,9952,60,134.9977644809,3500,0.9738534774,76752,0.1461499916,594.2403705185,1,0.2271770334,2542,2302,1337,1225,0,Unorganized
